Title,Time,Artist,Album,Genre,Plays
Bananas,1:32,Steven Price,"Baby Driver, Vol. 2: The Score for a Score",Soundtrack,
Bandook Meri Laila (feat. Raftaar & Sidharth Malhotra),3:35,"Ash King, Jigar Saraiya & Sachin-Jigar",A Gentleman (Original Motion Picture Soundtrack) - EP,Bollywood,1
Bang Bang,3:19,"Jessie J, Ariana Grande & Nicki Minaj",Bang Bang - Single,Pop,11
Banjaara,5:37,Mohammed Irfan,Ek Villain (Original Motion Picture Soundtrack),Bollywood,13
Bapu Zimidar,3:01,Jassie Gill,Chaar Ikke,Indian Pop,24
Barbie Girl,3:18,Aqua,Barbie Girl,Pop,1
Barking,3:23,Ramz,Barking - Single,Hip-Hop/Rap,17
Barood Wargi,3:52,Simiran Kaur Dhadli & San B,Barood Wargi - Single,Indian Pop,22
Barso,4:17,Ritviz,Barso - Single,Pop,
Bas Kar,2:47,GVL Khan,Bas Kar - Single,Hip-Hop/Rap,
Batheriyan (feat. Paradox & Uday Bakshi),5:37,Karun & Baajewala,Qabool Hai (Deluxe),Regional Indian,49
Be Alright,3:16,Dean Lewis,Be Alright - Single,Singer/Songwriter,39
Be Intehaan,4:51,"Atif Aslam, Sunidhi Chauhan & Pritam",Race 2 (Original Motion Picture Soundtrack),Bollywood,4
Be Kind,2:53,Marshmello & Halsey,Be Kind - Single,Dance,4
Beat It,4:18,Michael Jackson,Thriller,Pop,
Beautiful,6:33,Eminem,Relapse: Refill,Hip-Hop/Rap,1
Beautiful (feat. Camila Cabello),3:00,Bazzi,Beautiful (feat. Camila Cabello) - Single,Pop,4
Bebot,3:30,The Black Eyed Peas,Monkey Business,Hip-Hop/Rap,17
Beedio Call,3:34,"Diljit Dosanjh, Snappy & Rav Hanjra",Con.Fi.Den.Tial,Indian Pop,1
Beethoven,2:25,Kenndog,Beethoven - Single,Hip-Hop/Rap,2
Beggin,3:32,Måneskin,Chosen,Hard Rock,10
Bekaar,3:17,Vilen,Bekaar - Single,Indian,1
Bekhayali,6:12,Sachet Tandon,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,125
Believer,3:24,Imagine Dragons,Evolve,Alternative,22
Bella Ciao (Música Original de la Serie La Casa de Papel / Money Heist),2:20,Manu Pilas,Bella Ciao (Música Original de la Serie La Casa de Papel / Money Heist) - Single,TV Soundtrack,59
Bellbottoms,5:18,The Jon Spencer Blues Explosion,Orange,Alternative,
Besabar Dil,2:59,Aditya Mandothia,Besabar Dil - Single,R&B/Soul,7
Besabriyaan,4:16,Armaan Malik,M.S. Dhoni: The Untold Story (Original Motion Picture Soundtrack),Bollywood,3
Better Now,3:51,Post Malone,beerbongs & bentleys,Hip-Hop/Rap,15
Bewafa,3:45,Imran Khan,Unforgettable,World,98
Bhaag Milkha Bhaag,4:30,Shankar Ehsaan Loy & Arif Lohar,Bhaag Milkha Bhaag (Original Motion Picture Soundtrack),Bollywood,
Bhangra Ta Sajda (No One Gives a Damn!),3:47,"Neha Kakkar, Romy & Shashwat Sachdev",Veere Di Wedding (Original Motion Picture Soundtrack),Bollywood,
Bhayanak Aatma Parkash Raj Funny Dance Video Golmaal Again,1:08,,,,4
Bhayanak Atma (feat. Gagan Mudgal),3:30,Nucleya,Raja Baja - EP,Electronic,41
Bheegi Bheegi,5:45,James,Gangster (Original Motion Picture Soundtrack),Bollywood,18
Bholenath (A Love Story),5:00,Kaka WRLD,Bholenath (A Love Story) - Single,Regional Indian,
Bhool Bhulaiyaa,5:25,Pritam & Neeraj Shridhar,Bhool Bhulaiyaa (Original Motion Picture Soundtrack),Bollywood,1
Bhootni Ke,5:05,Daler Mehndi,Singh Is Kinng (Original Motion Picture Soundtrack),Bollywood,2
Bhula Dena,4:01,Mustafa Zahid,Aashiqui 2 (Original Motion Picture Soundtrack),Bollywood,3
Big Scene,3:27,Diljit Dosanjh,Con.Fi.Den.Tial,Indian Pop,
Bijlee Bijlee,2:48,Harrdy Sandhu,Bijlee Bijlee - Single,Indian Pop,142
